# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = peng_model
# start_datetime = 2025-05-15 10:16:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 5000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/admin/AppData/Local/Temp/Rtmp2PZJw8/standata-69c58b2fbe.json
# init = 2 (Default)
# random
#   seed = 619260806
# output
#   file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/sampling-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/peng-profile-1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=peng_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B.1.1,B.2.1,B.3.1,B.1.2,B.2.2,B.3.2,a,sigma
-2237.86,1,0.00390625,2,3,0,5865.39,0.286552,1.26827,-0.313021,0.710202,-1.86978,0.268916,0.196734,0.222297
-2237.86,0,10.0182,0,1,1,2240.26,0.286552,1.26827,-0.313021,0.710202,-1.86978,0.268916,0.196734,0.222297
-2237.86,0,0.951493,0,1,1,2240.52,0.286552,1.26827,-0.313021,0.710202,-1.86978,0.268916,0.196734,0.222297
-2237.86,0,0.0488594,0,1,1,2242.07,0.286552,1.26827,-0.313021,0.710202,-1.86978,0.268916,0.196734,0.222297
-1452.09,1,0.00191619,3,7,0,2161.71,0.287833,1.25638,-0.307486,0.706488,-1.86186,0.272862,0.282367,0.229624
-1431.5,1,0.00132442,2,3,0,1455.24,0.289783,1.25502,-0.307426,0.705473,-1.859,0.271473,0.284968,0.230407
-1421.42,1,0.00104407,4,15,0,1434.76,0.289584,1.25429,-0.307023,0.704509,-1.85725,0.273608,0.286538,0.230713
-1393.99,1,0.000899589,2,3,0,1422.3,0.288987,1.25106,-0.305216,0.70285,-1.85486,0.272786,0.288919,0.231883
-1370.28,0.995454,0.000824805,2,3,0,1396.72,0.288521,1.24988,-0.303128,0.703633,-1.85478,0.271777,0.292443,0.233232
-1370.03,0.999881,0.000779363,3,7,0,1372.98,0.289425,1.24977,-0.303027,0.702761,-1.85536,0.271393,0.2923,0.233261
-1338.75,0.999664,0.000771342,3,7,0,1373.88,0.291152,1.24657,-0.302112,0.703415,-1.84964,0.272941,0.29662,0.234825
