# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = peng_model
# start_datetime = 2025-05-15 10:16:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 5000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/admin/AppData/Local/Temp/Rtmp2PZJw8/standata-69c58b2fbe.json
# init = 2 (Default)
# random
#   seed = 619260806
# output
#   file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/sampling-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/peng-profile-2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=peng_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B.1.1,B.2.1,B.3.1,B.1.2,B.2.2,B.3.2,a,sigma
-7400.48,1,0.00195312,3,7,0,26149.4,-1.02417,-0.529759,0.123159,1.59996,0.503903,0.564259,0.100446,0.162748
-7400.48,0,10.0182,0,1,1,7407.36,-1.02417,-0.529759,0.123159,1.59996,0.503903,0.564259,0.100446,0.162748
-7400.48,0,0.951493,0,1,1,7407.05,-1.02417,-0.529759,0.123159,1.59996,0.503903,0.564259,0.100446,0.162748
-7400.48,0,0.0488594,0,1,1,7405.31,-1.02417,-0.529759,0.123159,1.59996,0.503903,0.564259,0.100446,0.162748
-4843.89,1,0.00191619,3,7,0,6830.94,-1.01532,-0.526976,0.128666,1.59938,0.506877,0.567396,0.172508,0.167471
-3669.32,1,0.00132442,3,7,0,4759.47,-1.00489,-0.522354,0.129517,1.59299,0.508531,0.565198,0.236993,0.173547
-3397.49,1,0.00104407,2,3,0,3677.28,-0.994662,-0.521882,0.132982,1.58327,0.507077,0.559677,0.251835,0.177204
-2954.58,1,0.000899589,3,7,0,3399.27,-0.976901,-0.514094,0.142242,1.5671,0.505256,0.553397,0.260813,0.185726
-2941.21,1,0.000824805,1,1,0,2955.54,-0.976401,-0.513397,0.142207,1.56639,0.50538,0.553007,0.260983,0.186002
-2792.03,1,0.000790632,2,3,0,2942.95,-0.967462,-0.515315,0.143642,1.56039,0.502101,0.551933,0.259312,0.189166
-2664.56,1,0.000782806,3,7,0,2795.77,-0.964036,-0.512788,0.144659,1.55315,0.496494,0.548388,0.258376,0.192128
-2597.27,1,0.000793751,2,3,0,2668.18,-0.962354,-0.511728,0.145371,1.54875,0.494555,0.551582,0.258777,0.193795
-2505.53,0.999616,0.000819206,2,3,0,2603.97,-0.956987,-0.51074,0.145973,1.54686,0.492365,0.553534,0.259712,0.196258
-2489.55,1,0.000855654,2,3,0,2508.95,-0.955292,-0.509686,0.146394,1.54641,0.491151,0.55317,0.258247,0.196593
-2339.3,1,0.00090362,2,3,0,2490.14,-0.946548,-0.50913,0.149116,1.53763,0.492691,0.55349,0.258342,0.200552
-2317.24,1,0.000961239,2,3,0,2341.63,-0.944914,-0.509361,0.149454,1.53676,0.49333,0.554757,0.257468,0.201195
-2240.75,1,0.00102801,2,3,0,2320.19,-0.94127,-0.506171,0.147691,1.52919,0.490774,0.553979,0.258183,0.203132
-2061.14,1,0.00110366,2,3,0,2241.34,-0.931892,-0.500084,0.148937,1.51599,0.487778,0.552792,0.257785,0.208443
-1879.81,1,0.0011881,2,3,0,2062.04,-0.921994,-0.497485,0.146433,1.50208,0.485444,0.55523,0.259219,0.214614
-1854.65,1,0.00128132,2,3,0,1886.8,-0.919174,-0.498502,0.149241,1.50152,0.486185,0.557258,0.256768,0.215562
-1762.21,1,0.00138341,2,3,0,1856.8,-0.910909,-0.495214,0.147291,1.49947,0.484296,0.558291,0.256854,0.219241
-1666.45,1,0.0014945,2,3,0,1766.08,-0.907045,-0.498946,0.145412,1.49242,0.48235,0.560046,0.261297,0.223509
-1562.34,1,0.00161475,3,7,0,1668.09,-0.899834,-0.493441,0.149443,1.48466,0.481537,0.561799,0.262859,0.228015
-1442.38,1,0.00174435,2,3,0,1562.44,-0.892176,-0.493482,0.152449,1.47269,0.478213,0.557824,0.259641,0.233464
-1030.21,1,0.00188351,3,7,0,1443.04,-0.838731,-0.489063,0.152718,1.43568,0.466819,0.565552,0.256248,0.256433
-942.715,1,0.00203246,3,7,0,1037.49,-0.833622,-0.49487,0.162081,1.4297,0.463448,0.56624,0.253506,0.264112
-852.354,1,0.0021914,3,7,0,951.236,-0.829884,-0.485768,0.159163,1.42725,0.456334,0.559907,0.25558,0.273223
-708.606,1,0.00236058,2,3,0,854.843,-0.81404,-0.481056,0.16138,1.40529,0.463172,0.566007,0.25708,0.28766
-281.894,1,0.00254021,4,15,0,710.163,-0.724769,-0.461526,0.183486,1.27935,0.453357,0.539398,0.255145,0.347089
-142.08,1,0.00273054,3,7,0,285.692,-0.667869,-0.462583,0.208674,1.20763,0.452263,0.516531,0.266108,0.381821
-128.743,1,0.00293178,4,15,0,148.905,-0.652759,-0.47303,0.222779,1.20109,0.450512,0.524287,0.263801,0.384594
-92.7376,0.995698,0.00314416,3,7,0,132.734,-0.637368,-0.453287,0.223674,1.182,0.462415,0.52748,0.253326,0.401118
109.057,0.997962,0.00332909,4,15,0,97.5663,-0.324097,-0.334782,0.224237,0.922597,0.329605,0.547999,0.26206,0.494969
115.942,0.99433,0.00354267,3,7,0,-107.512,-0.296816,-0.341871,0.226283,0.919027,0.319963,0.537204,0.25382,0.488437
129.199,0.986166,0.00372964,3,7,0,-115.083,-0.26332,-0.342698,0.220603,0.888767,0.316284,0.523488,0.261896,0.477836
168.834,0.986011,0.00383934,4,15,0,-125.304,-0.157472,-0.250531,0.219835,0.821153,0.294639,0.48405,0.255664,0.459319
239.854,0.791583,0.00394819,4,31,1,-164.626,-0.0545884,-0.205682,0.228713,0.612516,0.294126,0.48443,0.253446,0.401354
322.181,0.997846,0.00245302,5,31,0,-234.356,0.139846,-0.129525,0.297033,0.537828,0.31683,0.416928,0.260249,0.330197
369.962,0.998664,0.0026072,4,15,0,-319.182,0.16596,-0.0642222,0.29458,0.517524,0.234395,0.419285,0.25354,0.29014
381.196,0.998785,0.00277363,4,15,0,-366.571,0.176352,-0.0407293,0.29474,0.493526,0.213046,0.442857,0.255626,0.284899
381.909,0.998071,0.00294811,3,7,0,-379.732,0.174094,-0.0327989,0.292093,0.489948,0.215493,0.448505,0.253202,0.284471
400.401,0.960996,0.00312433,4,15,0,-380.919,0.174909,-0.0237658,0.305717,0.457448,0.206567,0.451025,0.252309,0.270282
441.382,0.855288,0.00301546,4,15,0,-395.86,0.230545,-0.00802781,0.36622,0.393875,0.138614,0.475067,0.254001,0.245472
497.597,0.910492,0.00224109,5,31,0,-435.655,0.276999,-0.0022884,0.407738,0.355014,0.169367,0.509119,0.244359,0.197611
504.137,0.987145,0.00191513,4,15,0,-495.604,0.280094,-0.0048545,0.39505,0.351352,0.164568,0.51682,0.244391,0.191644
521.47,0.999797,0.00197692,4,15,0,-501.71,0.28563,-0.0112704,0.399733,0.367893,0.114422,0.507872,0.252087,0.182314
531.964,0.983581,0.00210267,4,15,0,-519.537,0.283027,0.00854773,0.406322,0.377776,0.134477,0.511138,0.246839,0.175975
